date,scheduled,note
2020-12-16,True,Meeting
2021-01-27,True,Meeting
2021-03-17,True,Meeting
2021-04-28,True,Meeting
2021-06-16,True,Meeting
2021-07-28,True,Meeting
2021-09-22,True,Meeting
2021-11-03,True,Meeting
2021-12-15,True,Meeting
2022-01-26,True,Meeting
2022-03-16,True,Meeting
2022-05-04,True,Meeting
2022-06-15,True,Meeting
2022-07-27,True,Meeting
2022-09-21,True,Meeting
2022-11-02,True,Meeting
2022-12-14,True,Meeting
2023-02-01,True,Meeting
2023-03-22,True,Meeting
2023-05-03,True,Meeting
2023-06-14,True,Meeting
2023-07-26,True,Meeting
2023-09-20,True,Meeting
2023-11-01,True,Meeting
2023-12-13,True,Meeting
2024-01-31,True,Meeting
2024-03-20,True,Meeting
2024-05-01,True,Meeting
2024-06-12,True,Meeting
2024-07-31,True,Meeting
2024-09-18,True,Meeting
2024-11-07,True,Meeting
2024-12-18,True,Meeting
2025-01-29,True,Meeting
2025-03-19,True,Meeting
2025-05-07,True,Meeting
2025-06-18,True,Meeting
2025-07-30,True,Meeting
2025-09-17,True,Meeting
2025-10-29,True,Meeting
2025-12-10,True,Meeting
2026-01-28,True,Meeting
2026-03-18,True,Meeting
2026-04-29,True,Meeting
2026-06-17,True,Meeting
2026-07-29,True,Meeting
2026-09-16,True,Meeting
2026-10-28,True,Meeting
2026-12-09,True,Meeting
2027-01-27,True,Meeting
2027-03-17,True,Meeting
2027-04-28,True,Meeting
2027-06-09,True,Meeting
2027-07-28,True,Meeting
2027-09-15,True,Meeting
2027-10-27,True,Meeting
2027-12-08,True,Meeting
